Quote,Author
"“The most preposterous notion that Homo sapiens has ever dreamed up is that the Lord God of Creation, Shaper and Ruler of all the Universes, wants the saccharine adoration of His creatures, can be swayed by their prayers, and becomes petulant if He does not receive this flattery. Yet this absurd fantasy, without a shred of evidence to bolster it, pays all the expenses of the oldest, largest, and least productive industry in all history.”",Robert A. Heinlein
"“It frustrates and fascinates me that we'll never know for sure, that despite the best efforts of historians and scientists and poets, there are some things we'll just never know. What the first song sounded like. How it felt to see the first photograph. Who kissed the first kiss, and if it was any good.”",Isaac Marion
"“Just the other day, I was in my neighborhood Starbucks, waiting for the post office to open. I was enjoying a chocolatey cafe mocha when it occurred to me that to drink a mocha is to gulp down the entire history of the New World. From the Spanish exportation of Aztec cacao, and the Dutch invention of the chemical process for making cocoa, on down to the capitalist empire of Hershey, PA, and the lifestyle marketing of Seattle's Starbucks, the modern mocha is a bittersweet concoction of imperialism, genocide, invention, and consumerism served with whipped cream on top.”",Sarah Vowell
"“For the survivor who chooses to testify, it is clear: his duty is to bear witness for the dead and for the living. He has no right to deprive future generations of a past that belongs to our collective memory. To forget would be not only dangerous but offensive; to forget the dead would be akin to killing them a second time.”",Elie Wiesel
“Today is a new day. Don't let your history interfere with your destiny! Let today be the day you stop being a victim of your circumstances and start taking action towards the life you want. You have the power and the time to shape your life. Break free from the poisonous victim mentality and embrace the truth of your greatness. You were not meant for a mundane or mediocre life!”,Steve Maraboli
"“No one is going to give you the education you need to overthrow them. Nobody is going to teach you your true history, teach you your true heroes, if they know that that knowledge will help set you free.”",Assata Shakur
"“We're going to meet a lot of lonely people in the next week and the next month and the next year. And when they ask us what we're doing, you can say, We're remembering. That's where we'll win out in the long run. And someday we'll remember so much that we'll build the biggest goddamn steamshovel in history and dig the biggest grave of all time and shove war in it and cover it up.”",Ray Bradbury
"“In the unlikely story that is America, there has never been anything false about hope.”",Barack Obama
"“Time after time, history demonstrates that when people don't want to believe something, they have enormous skills of ignoring it altogether.”",Jim Butcher
"“History is important. If you don't know history it is as if you were born yesterday. And if you were born yesterday, anybody up there in a position of power can tell you anything, and you have no way of checking up on it.”",Howard Zinn
"“There's an old saying about those who forget history. I don't remember it, but it's good.”",Stephen Colbert
"“It comes from history. It comes from the record of the Inquisition, persecuting heretics and torturing Jews and all that sort of stuff; and it comes from the other side, too, from the Protestants burning the Catholics. It comes from the insensate pursuit of innocent and crazy old women, and from the Puritans in America burning and hanging the witches — and it comes not only from the Christian church but also from the Taliban. Every single religion that has a monotheistic god ends up by persecuting other people and killing them because they don't accept him. Wherever you look in history, you find that. It’s still going on.”",Philip Pullman
"“Casting aside other things, hold to the precious few; and besides bear in mind that every man lives only the present, which is an indivisible point, and that all the rest of his life is either past or is uncertain. Brief is man's life and small the nook of the earth where he lives; brief, too, is the longest posthumous fame, buoyed only by a succession of poor human beings who will very soon die and who know little of themselves, much less of someone who died long ago.”",Marcus Aurelius
"“Your pretty empire took so long to build, now, with a snap of history's fingers, down it goes.”",Alan Moore
"“History is a wheel, for the nature of man is fundamentally unchanging. What has happened before will perforce happen again.”",George R.R. Martin
“You need to read more science fiction. Nobody who reads science fiction comes out with this crap about the end of history”,Iain Banks
"“Those who cannot remember the past, are condemned to repeat it.”",George Santayana
“The only thing new in the world is the history you do not know.”,Harry S. Truman
“We learn from experience that men never learn anything from experience.”,George Bernard Shaw
"“We’re constantly changing facts, rewriting history to make things easier, to make them fit in with our preferred version of events. We do it automatically. We invent memories. Without thinking. If we tell ourselves something happened often enough we start to believe it, and then we can actually remember it.”",S.J. Watson
“In the beginning was the Word. Then came the fucking word processor. Then came the thought processor. Then came the death of literature. And so it goes.”,Dan Simmons
“The state is that great fiction by which everyone tries to live at the expense of everyone else.”,Frederic Bastiat
“One cannot and must not try to erase the past merely because it does not fit the present.”,Golda Meir
“Human history becomes more and more a race between education and catastrophe.”,H.G. Wells
“All great things must first wear terrifying and monstrous masks in order to inscribe themselves on the hearts of humanity.”,Friedrich Nietzsche
"“All knowledge that is about human society, and not about the natural world, is historical knowledge, and therefore rests upon judgment and interpretation. This is not to say that facts or data are nonexistent, but that facts get their importance from what is made of them in interpretation… for interpretations depend very much on who the interpreter is, who he or she is addressing, what his or her purpose is, at what historical moment the interpretation takes place.”",Edward Said
"“Violence, naked force, has settled more issues in history than has any other factor.”",Robert A. Heinlein
"“The fact is that more people have been slaughtered in the name of religion than for any other single reason. That, that my friends, that is true perversion!”",Harvey Milk
"“She supposed they were imperfections, those marks, but they didn't feel that way to her; they were a history, cut into his body: the map of a life of endless war.”",Cassandra Clare
“It’s hard to throw away history. It was like you were throwing away a part of yourself.”,Jenny Han
“I just don't see why the past has to matter.”,Cassandra Clare
“We have it in our power to begin the world over again.”,Thomas Paine
“No word matters. But man forgets reality and remembers words.”,Roger Zelazny
"“I know this goes without saying, but Stonehenge really was the most incredible accomplishment. It took five hundred men just to pull each sarsen, plus a hundred more to dash around positioning the rollers. Just think about it for a minute. Can you imagine trying to talk six hundred people into helping you drag a fifty-ton stone eighteen miles across the countryside and muscle it into an upright position, and then saying, 'Right, lads! Another twenty like that, plus some lintels and maybe a couple of dozen nice bluestones from Wales, and we can party!' Whoever was the person behind Stonehenge was one dickens of a motivator, I'll tell you that.”",Bill Bryson
“History is the fiction we invent to persuade ourselves that events are knowable and that life has order and direction. That's why events are always reinterpreted when values change. We need new versions of history to allow for our current prejudices.”,Bill Watterson
"“History isn't the lies of the victors, as I once glibly assured Old Joe Hunt; I know that now. It's more the memories of the survivors, most of whom are neither victorious or defeated.”",Julian Barnes
"“I am frequently asked if I have visited Israel, whereas yet, it is simply assumed that I have. Well, I don’t travel. I really don’t, and if I did, I probably wouldn’t visit Israel. I remember how it was in 1948 when Israel was being established and all my Jewish friends were ecstatic, I was not. I said: what are we doing? We are establishing ourselves in a ghetto, in a small corner of a vast Muslim sea. The Muslims will never forget nor forgive, and Israel, as long as it exists, will be embattled. I was laughed at, but I was right. I can’t help but feel that the Jews didn’t really have the right to appropriate a territory only because 2000 years ago, people they consider their ancestors, were living there. History moves on and you can’t really turn it back. (#92",Isaac Asimov
"“No matter what your history has been, your destiny is what you create today. What are you going to create?”",Steve Maraboli
"“History isn't like that. History unravels gently, like an old sweater. It has been patched and darned many times, reknitted to suit different people, shoved in a box under the sink of censorship to be cut up for the dusters of propaganda, yet it always - eventually - manages to spring back into its old familar shape. History has a habit of changing the people who think they are changing it. History always has a few tricks up its frayed sleeve. It's been around a long time.”",Terry Pratchett
“How do I define history? It's just one fucking thing after another”,Alan Bennett
"“History written in pencil is easily erased, but crayon is forever.”",Emilie Autumn
"“...[G]reat progress was evident in the last Congress of the American 'Labour Union' in that among other things, it treated working women with complete equality. While in this respect the English, and still more the gallant French, are burdened with a spirit of narrow-mindedness. Anybody who knows anything of history knows that great social changes are impossible without the feminine ferment. Social progress can be measured exactly by the social position of the fair sex (the ugly ones included).”",Karl Marx 
“Few individuals significantly alter the course of history. Fewer still modify the map of the world. Hardly anyone can be credited with creating a nation-state. Mohammad Ali Jinnah did all three.”,Stanley Wolpert
"“At one point, approximately halfway through her remarks, Merkel stated in German something about ‘being able to greet the president of the United States of America, Barack Obama,’ and an overly ambitious Obama, who perhaps thought that was his cue, headed toward the podium.  Perhaps catching the president’s movement out of the corner of her eye, Merkel thought quickly, and without even looking up from her notes, she told the excited American president, in English, ‘Not yet, dear Mr. President, dear Barack Obama.’ Obama sheepishly returned to his seat to allow the chancellor to finish her speech.”",Claudia   Clark
"“Historical fact: People stopped being people in 1913. That was the year Henry Ford put his cars on rollers and made his workers adopt the speed of the assembly line. At first, workers rebelled. They quit in droves, unable to accustom their bodies to the new pace of the age. Since then, however, the adaptation has been passed down: we've all inherited it to some degree, so that we plug right into joy-sticks and remotes, to repetitive motions of a hundred kinds.”",Jeffrey Eugenides
"“And that, ...is the story of our country, one invasion after another...Macedonians. Saddanians. Arabs. Mongols. Now the Soviets. But we're like those walls up there. Battered, and nothing pretty to look at, but still standing.”",Khaled Hosseini
“Forgiveness is the only way to reverse the irreversible flow of history.”,Hannah Arendt
“History isn't about dates and places and wars. It's about the people who fill the spaces between them.”,Jodi Picoult
“You have to know the past to understand the present.”,Carl Sagan
"“As a historian, I have learned that, in fact, not everyone who reaches back into history can survive it. And it is not only reaching back that endangers us; sometimes history itself reaches inexorably forward for us with its shadowy claws.”",Elizabeth Kostova
"“People say you're born innocent, but it's not true. You inherit all kinds of things that you can do nothing about. You inherit your identity, your history, like a birthmark that you can't wash off. ... We are born with our heads turned back, but my mother says we have to face into the future now. You have to earn your own innocence, she says. You have to grow up and become innocent.”",Hugo Hamilton
"“It is extraordinarily entertaining to watch the historians of the past ... entangling themselves in what they were pleased to call the ""problem"" of",Dorothy L. Sayers
"“Isn’t it queer: there are only two or three human stories, and they go on repeating themselves as fiercely as if they had never happened before; like the larks in this country, that have been singing the same five notes over for thousands of years.”",Willa Cather
"“Mozart, Pascal, Boolean algebra, Shakespeare, parliamentary government, baroque churches, Newton, the emancipation of women, Kant, Balanchine ballets, et al. don’t redeem what this particular civilization has wrought upon the world. The white race is the cancer of human history.”",Susan Sontag
"“My choice of Muhammad to lead the list of the world's most influential persons may surprise some readers and may be questioned by others, but he was the only man in history who was supremely successful on both the religious and secular level.”",Michael H. Hart
"“What is the cause of historical events? Power. What is power? Power is the sum total of wills transferred to one person. On what condition are the willso fo the masses transferred to one person? On condition that the person express the will of the whole people. That is, power is power. That is, power is a word the meaning of which we do not understand. ”",Leo Tolstoy
“He who doesn't understand history is doomed to repeat it.”,Pittacus Lore
“The terrified men did not move. Then Nadia Fedin did something instinctive; she drew her Nagant revolver and fired three short bursts into the head of the nearest soldier. Stepan Ivanovich’s skull burst like a ripe cabbage showering his horrified comrades with viscous brain and bits of bone.”,KGE Konkel
“People are trapped in history and history is trapped in them.”,James Baldwin
"“I am not a victim. No matter what I have been through, I'm still here. I have a history of victory.”",Steve Maraboli
"“When he, whoever of the gods it was, had thus arranged in order and resolved that chaotic mass, and reduced it, thus resolved, to cosmic parts, he first moulded the Earth into the form of a mighty ball so that it might be of like form on every side … And, that no region might be without its own forms of animate life, the stars and divine forms occupied the floor of heaven, the sea fell to the shining fishes for their home, Earth received the beasts, and the mobile air the birds … Then Man was born:… though all other animals are prone, and fix their gaze upon the earth, he gave to Man an uplifted face and bade him stand erect and turn his eyes to heaven.”",Ovid
“Anybody can make history; only a great man can write it.”,Oscar Wilde
“How would your life be different if…You didn’t allow yourself to be defined by your past? Let today be the day…You stop letting your history interfere with your destiny and awaken to the opportunity to release your greatest self.”,Steve Maraboli
“Sometimes - history needs a push.”,Vladimir Ilyich Lenin
“There once was a time when all people believed in God and the church ruled. This time was called the Dark Ages.”,Richard Lederer
“الحياة انتظار دائم لشيء جميل .”,هاني نقشبندي
"“War had bled color from everything, leaving nothing but a storm of gray.”",Ruta Sepetys
“History is the version of past events that people have decided to agree upon.”,Napoleon Bonaparte
"“In her usual manner, Merkel spoke in German. It is worth pointing out, however, that before the translator had an opportunity to convert her statements to English, Obama gave the chancellor and the press a big smile, saying, ‘I think what she said was good. I’m teasing.’ The laughter in the room drowned out the sounds of the cameras clicking and flashing, with Merkel’s giggle and smile among the loudest.”",Claudia   Clark
"“If this is the price to be paid for an idea, then let us pay. There is no need of being troubled about it, afraid, or ashamed. This is the time to boldly say, “Yes, I believe in the displacement of this system of injustice by a just one; I believe in the end of starvation, exposure, and the crimes caused by them; I believe in the human soul regnant over all laws which man has made or will make; I believe there is no peace now, and there will never be peace, so long as one rules over another; I believe in the total disintegration and dissolution of the principle and practice of authority; I am an Anarchist, and if for this you condemn me, I stand ready to receive your condemnation.”",Voltairine de Cleyre
“History is a guide to navigation in perilous times. History is who we are and why we are the way we are. ”,David McCullough
"“One of my professors once told me that the last official act of the British monarchy was when Queen Victoria refused to sign a law that made same-sex acts illegal. It would have made me think more highly of her, except the reason she objected was because she didn’t believe women would do anything like that. Parliament rewrote the law so it was specific to men, and she signed it. A tribute to enlightenment, Queen Victoria was not. Neither, as I have observed before, are werewolf packs. ”",Patricia Briggs
"“People always fear what they don't understand, Evangeline. History proves that.”",Libba Bray
"“What one generation finds ridiculous, the next accepts; and the third shudders when it looks back on what the first did.”",Peter Singer
