Quote,Author
"“When someone loves you, the way they talk about you is different. You feel safe and comfortable.”",Jess C. Scott
“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”,Ralph Waldo Emerson
"“I can never read all the books I want; I can never be all the people I want and live all the lives I want. I can never train myself in all the skills I want. And why do I want? I want to live and feel all the shades, tones and variations of mental and physical experience possible in my life. And I am horribly limited.”",Sylvia Plath
"“We are what we pretend to be, so we must be careful about what we pretend to be.”",Kurt Vonnegut
"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",Jimi Hendrix
“But better to get hurt by the truth than comforted with a lie.”,Khaled Hosseini
“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”,Mark Twain
"“Just when you think it can't get any worse, it can. And just when you think it can't get any better, it can.”",Nicholas Sparks
"“The one you love and the one who loves you are never, ever the same person.”",Chuck Palahniuk
“The saddest aspect of life right now is that science gathers knowledge faster than society gathers wisdom.”,Isaac Asimov
"“I speak to everyone in the same way, whether he is the garbage man or the president of the university.”",Albert Einstein
“How wonderful it is that nobody need wait a single moment before starting to improve the world.”,Anne Frank
"“We're all human, aren't we? Every human life is worth the same, and worth saving.”",J.K. Rowling
“Every man has his secret sorrows which the world knows not; and often times we call a man cold when he is only sad.”,Henry Wadsworth Longfellow
"“If you don't know where you're going, any road'll take you there”",George Harrison
"“All God does is watch us and kill us when we get boring. We must never, ever be boring.”",Chuck Palahniuk
"“This life’s hard, but it’s harder if you’re stupid.”",George V. Higgins
“Sometimes I can hear my bones straining under the weight of all the lives I'm not living.”,Jonathan Safran Foer
"“Never doubt that a small group of thoughtful, committed, citizens can change the world. Indeed, it is the only thing that ever has.”",Margaret Mead
"“Death ends a life, not a relationship.”",Mitch Albom
"“Do not read, as children do, to amuse yourself, or like the ambitious, for the purpose of instruction. No, read in order to live.”",Gustave Flaubert
“You cannot find peace by avoiding life.”,Michael Cunningham
“May you live every day of your life.”,Jonathan Swift
“Where there is love there is life.”,Mahatma Gandhi
"“If my life is going to mean anything, I have to live it myself.”",Rick Riordan
“Get busy living or get busy dying.”,Stephen King
"“There are two basic motivating forces: fear and love. When we are afraid, we pull back from life. When we are in love, we open to all that life has to offer with passion, excitement, and acceptance. We need to learn to love ourselves first, in all our glory and our imperfections. If we cannot love ourselves, we cannot fully open to our ability to love others or our potential to create. Evolution and all hopes for a better world rest in the fearlessness and open-hearted vision of people who embrace life.”",John Lennon
"“If the world were merely seductive, that would be easy. If it were merely challenging, that would be no problem. But I arise in the morning torn between a desire to improve the world and a desire to enjoy the world. This makes it hard to plan the day.”",E.B. White
"“All the world is made of faith, and trust, and pixie dust.”",J.M. Barrie
"“To love. To be loved. To never forget your own insignificance. To never get used to the unspeakable violence and the vulgar disparity of life around you. To seek joy in the saddest places. To pursue beauty to its lair. To never simplify what is complicated or complicate what is simple. To respect strength, never power. Above all, to watch. To try and understand. To never look away. And never, never to forget.”",Arundhati Roy
"“We have to dare to be ourselves, however frightening or strange that self may prove to be.”",May Sarton
“Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.”,Roy T. Bennett
“Anyone who lives within their means suffers from a lack of imagination.”,Oscar Wilde
“Life is a book and there are a thousand pages I have not yet read.”,Cassandra Clare
"“There will come a time when all of us are dead. All of us. There will come a time when there are no human beings remaining to remember that anyone ever existed or that our species ever did anything. There will be no one left to remember Aristotle or Cleopatra, let alone you. Everything that we did and built and wrote and thought and discovered will be forgotten and all of this will have been for naught. Maybe that time is coming soon and maybe it is millions of years away, but even if we survive the collapse of our sun, we will not survive forever. There was time before organisms experienced consciousness, and there will be time after. And if the inevitability of human oblivion worries you, I encourage you to ignore it. God knows that’s what everyone else does.”",John Green
“Life can only be understood backwards; but it must be lived forwards.”,Søren Kierkegaard
"“Instead of worrying about what you cannot control, shift your energy to what you can create.”",Roy T. Bennett
"“Monsters are real, and ghosts are real too. They live inside us, and sometimes, they win.”",Stephen King
"“When I was 5 years old, my mother always told me that happiness was the key to life. When I went to school, they asked me what I wanted to be when I grew up. I wrote down ‘happy’. They told me I didn’t understand the assignment, and I told them they didn’t understand life.”",John Lennon
"“A life spent making mistakes is not only more honorable, but more useful than a life spent doing nothing.”",George Bernard Shaw
"“Of all sad words of tongue or pen, the saddest are these, 'It might have been.”",John Greenleaf Whittier
"“Do not let your fire go out, spark by irreplaceable spark in the hopeless swamps of the not-quite, the not-yet, and the not-at-all. Do not let the hero in your soul perish in lonely frustration for the life you deserved and have never been able to reach. The world you desire can be won. It exists.. it is real.. it is possible.. it's yours.”",Ayn Rand
“The flower that blooms in adversity is the rarest and most beautiful of all.”,Walt Disney Company
"“The best index to a person's character is how he treats people who can't do him any good, and how he treats people who can't fight back.”",Abigail Van Buren
“Be the reason someone smiles. Be the reason someone feels loved and believes in the goodness in people.”,Roy T. Bennett
“The most important thing is to enjoy your life—to be happy—it's all that matters.”,Audrey Hepburn
"“People aren't either wicked or noble. They're like chef's salads, with good things and bad things chopped and mixed together in a vinaigrette of confusion and conflict.”",Lemony Snicket
“Be mindful. Be grateful. Be positive. Be true. Be kind.”,Roy T. Bennett
"“Accept yourself, love yourself, and keep moving forward. If you want to fly, you have to give up what weighs you down.”",Roy T. Bennett
“Nobody realizes that some people expend tremendous energy merely to be normal.”,Albert Camus
“I love to see a young girl go out and grab the world by the lapels. Life's a bitch. You've got to go out and kick ass.”,maya angelou
"“My experience of life is that it is not divided up into genres; it’s a horrifying, romantic, tragic, comical, science-fiction cowboy detective novel. You know, with a bit of pornography if you're lucky.”",Alan Moore
“Two possibilities exist: either we are alone in the Universe or we are not. Both are equally terrifying.”,Arthur C. Clarke
"“I don't know the question, but sex is definitely the answer.”",Woody Allen
"“It is said that your life flashes before your eyes just before you die. That is true, it's called Life.”",Terry Pratchett
"“Believe in yourself. You are braver than you think, more talented than you know, and capable of more than you imagine.”",Roy T. Bennett
“Live the Life of Your Dreams: Be brave enough to live the life of your dreams according to your vision and purpose instead of the expectations and opinions of others.”,Roy T. Bennett
“Remember: the time you feel lonely is the time you most need to be by yourself. Life's cruelest irony.”,Douglas Coupland
"“It may be unfair, but what happens in a few days, sometimes even a single day, can change the course of a whole lifetime...”",Khaled Hosseini
"“People are afraid of themselves, of their own reality; their feelings most of all. People talk about how great love is, but that’s bullshit. Love hurts. Feelings are disturbing. People are taught that pain is evil and dangerous. How can they deal with love if they’re afraid to feel? Pain is meant to wake us up. People try to hide their pain. But they’re wrong. Pain is something to carry, like a radio. You feel your strength in the experience of pain. It’s all in how you carry it. That’s what matters. Pain is a feeling. Your feelings are a part of you. Your own reality. If you feel ashamed of them, and hide them, you’re letting society destroy your reality. You should stand up for your right to feel your pain.”",Jim Morrison
"“Don’t waste your time in anger, regrets, worries, and grudges. Life is too short to be unhappy.”",Roy T. Bennett
"“Life is pain, highness. Anyone who says differently is selling something.”",William Goldman
“It isn't what you have or who you are or where you are or what you are doing that makes you happy or unhappy. It is what you think about it.”,Dale Carnegie
"“If you love somebody, let them go, for if they return, they were always yours. If they don't, they never were.”",Kahlil Gibran
"“Don't let the expectations and opinions of other people affect your decisions. It's your life, not theirs. Do what matters most to you; do what makes you feel alive and happy. Don't let the expectations and ideas of others limit who you are. If you let others tell you who you are, you are living their reality — not yours. There is more to life than pleasing people. There is much more to life than following others' prescribed path. There is so much more to life than what you experience right now. You need to decide who you are for yourself. Become a whole being. Adventure.”",Roy T. Bennett
"“It hurts to let go. Sometimes it seems the harder you try to hold on to something or someone the more it wants to get away. You feel like some kind of criminal for having felt, for having wanted. For having wanted to be wanted. It confuses you, because you think that your feelings were wrong and it makes you feel so small because it's so hard to keep it inside when you let it out and it doesn't coma back. You're left so alone that you can't explain. Damn, there's nothing like that, is there? I've been there and you have too. You're nodding your head.”",Henry Rollins
"“It’s only after you’ve stepped outside your comfort zone that you begin to change, grow, and transform.”",Roy T. Bennett
"“Even if you cannot change all the people around you, you can change the people you choose to be around. Life is too short to waste your time on people who don’t respect, appreciate, and value you. Spend your life with people who make you smile, laugh, and feel loved.”",Roy T. Bennett
"“You cannot control the behavior of others, but you can always choose how you respond to it.”",Roy T. Bennett
"“More smiling, less worrying. More compassion, less judgment. More blessed, less stressed. More love, less hate.”",Roy T. Bennett
“Life's under no obligation to give us what we expect.”,Margaret Mitchell
"“Nobody likes being alone that much. I don't go out of my way to make friends, that's all. It just leads to disappointment. ”",Haruki Murakami
“Unbeing dead isn't being alive.”,E. E. Cummings
"“Life should not be a journey to the grave with the intention of arriving safely in a pretty and well preserved body, but rather to skid in broadside in a cloud of smoke, thoroughly used up, totally worn out, and loudly proclaiming ""Wow! What a Ride!”",Hunter S. Thompson
“Life becomes easier and more beautiful when we can see the good in other people.”,Roy T. Bennett
"“The truth is, unless you let go, unless you forgive yourself, unless you forgive the situation, unless you realize that the situation is over, you cannot move forward.”",Steve Maraboli
"“If you want to be happy, do not dwell in the past, do not worry about the future, focus on living fully in the present.”",Roy T. Bennett
"“Sometimes our light goes out, but is blown again into instant flame by an encounter with another human being.”",Albert Schweitzer
“How many slams in an old screen door? Depends how loud you shut it. How many slices in a bread? Depends how thin you cut it. How much good inside a day? Depends how good you live 'em. How much love inside a friend? Depends how much you give 'em.”,Shel Silverstein
"“Success is not how high you have climbed, but how you make a positive difference to the world.”",Roy T. Bennett
“He who has a why to live for can bear almost any how.”,Friedrich Nietzsche
“Some people have lives; some people have music.”,John Green
"“Pursue what catches your heart, not what catches your eyes.”",Roy T. Bennett
"“If cats looked like frogs we'd realize what nasty, cruel little bastards they are. Style. That's what people remember.”",Terry Pratchett
"“The things you do for yourself are gone when you are gone, but the things you do for others remain as your legacy.”",Kalu Ndukwe Kalu
"“Tell the truth, or someone will tell it for you.”",Stephanie Klein
"“People aren't born good or bad. Maybe they're born with tendencies either way, but its the way you live your life that matters.”",Cassandra Clare
"“The true soldier fights not because he hates what is in front of him, but because he loves what is behind him.”",G.K. Chesterton
“Do I not destroy my enemies when I make them my friends?”,Abraham Lincoln
"“A woman has to live her life, or live to repent not having lived it.”",D.H. Lawrence
“The most wasted of all days is one without laughter.”,Nicolas Chamfort
"“Dwell on the beauty of life. Watch the stars, and see yourself running with them.”",Marcus Aurelius
“Learn to light a candle in the darkest moments of someone’s life. Be the light that helps others see; it is what gives life its deepest significance.”,Roy T. Bennett
"“Make improvements, not excuses. Seek respect, not attention.”",Roy T. Bennett
“Live to the point of tears.”,Albert Camus
"“If I can stop one heart from breaking, I shall not live in vain.”",Emily Dickinson
"“If you want to forget something or someone, never hate it, or never hate him/her. Everything and everyone that you hate is engraved upon your heart; if you want to let go of something, if you want to forget, you cannot hate.”",C. JoyBell C.
“Start each day with a positive thought and a grateful heart.”,Roy T. Bennett
"“The more I see, the less I know for sure.”",John Lennon
"“Treat everyone with politeness and kindness, not because they are nice, but because you are.”",Roy T. Bennett
"“Albus Severus,"" Harry said quietly, so that nobody but Ginny could hear, and she was tactful enough to pretend to be waving to Rose, who was now on the train, ""you were named for two headmasters of Hogwarts. One of them was a Slytherin and he was probably the bravest man I ever knew.”",J.K. Rowling
"“I am not sure that I exist, actually. I am all the writers that I have read, all the people that I have met, all the women that I have loved; all the cities I have visited.”",Jorge Luis Borges
“Why didn't I learn to treat everything like it was the last time. My greatest regret was how much I believed in the future.”,Jonathan Safran Foer
“I go to seek a Great Perhaps.”,François Rabelais
"“Life is to be enjoyed, not endured”",Gordon B. Hinckley
"“No matter how much suffering you went through, you never wanted to let go of those memories.”",haruki murakami
"“Follow your heart, listen to your inner voice, stop caring about what others think.”",Roy T. Bennett
“This is your life and its ending one moment at a time.”,Chuck Palahniuk
"“Don't say you don't have enough time. You have exactly the same number of hours per day that were given to Helen Keller, Pasteur, Michelangelo, Mother Teresa, Leonardo da Vinci, Thomas Jefferson, and Albert Einstein.”",H. Jackson Brown Jr.
“Don't take life too seriously. Punch it in the face when it needs a good hit. Laugh at it.”,Colleen Hoover
